D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|Truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
59234|2015|Toyota|Camry|Sedan|Blue|88210|10995.00
67321|2017|Chevrolet|Malibu|Sedan|White|64233|11950.00
78455|2010|Nissan|Altima|Sedan|Black|135880|7495.00
81239|2018|Jeep|Wrangler|SUV|Green|55412|22495.00
92347|2014|Hyundai|Sonata|Sedan|Silver|98330|8995.00
10456|2019|Subaru|Outback|Wagon|Brown|42670|18995.00
11589|2020|Kia|Soul|SUV|Orange|33100|15995.00
12673|2013|Dodge|Ram 1500|Truck|Red|117430|13950.00
13744|2011|BMW|328i|Sedan|Gray|90215|9995.00
14829|2016|Chevrolet|Tahoe|SUV|Black|78100|21995.00
15903|2017|Ford|Fusion|Sedan|Blue|59211|12500.00
16288|2012|Mazda|CX-5|SUV|White|101422|10950.00
17594|2015|Volkswagen|Jetta|Sedan|Silver|88540|9450.00
18321|2019|Toyota|RAV4|SUV|Gray|46320|21995.00
19762|2014|Honda|Accord|Sedan|Black|94250|9995.00
20418|2018|GMC|Sierra 1500|Truck|Red|71200|23995.00
21533|2016|Nissan|Rogue|SUV|White|67345|15995.00
